CITYNAME,STATEID,ACTIVE
Mumbai,23,Y
Delhi,13,Y
Bangalore,20,Y
Chennai,32,Y
Ahmedabad,15,Y
Pune,23,Y
Surat,15,Y
Kolkata,36,Y
Jaipur,30,Y
Lucknow,34,Y
Kanpur,34,Y
Nagpur,23,Y
Indore,22,Y
Thane,23,Y
Bhopal,22,Y
Visakhapatnam,8,Y
Pimpri-Chinchwad,23,Y
Patna,11,Y
Vadodara,15,Y
Ghaziabad,34,Y
Ludhiana,29,Y
Agra,34,Y
Nashik,23,Y
Faridabad,16,Y
Meerut,34,Y
Rajkot,15,Y
Kalyan-Dombivali,23,Y
Vasai-Virar,23,Y
Varanasi,34,Y
Srinagar,18,Y
Aurangabad,23,Y
Dhanbad,19,Y
Amritsar,29,Y
Navi Mumbai,23,Y
Allahabad,34,Y
Ranchi,19,Y
Howrah,36,Y
Coimbatore,32,Y
Jabalpur,22,Y
Gwalior,22,Y
Vijayawada,8,Y
Jodhpur,30,Y
Madurai,32,Y
Raipur,12,Y
Kota,30,Y
Guwahati,10,Y
Chandigarh,12,N
Solapur,23,Y
Chandigarh,39,Y
Hubballi-Dharwad,20,Y
Bareilly,34,Y
Moradabad,34,Y
Mysore,20,Y
Gurgaon,16,Y
Aligarh,34,Y
Jalandhar,29,Y
Tiruchirappalli,32,Y
Bhubaneswar,28,Y
Salem,32,Y
Mira-Bhayandar,23,Y
Trivandrum,21,Y
Bhiwandi,23,Y
Saharanpur,34,Y
Gorakhpur,34,Y
Guntur,8,Y
Bikaner,30,Y
Amravati,23,Y
Noida,34,Y
Jamshedpur,19,Y
Bhilai,12,Y
Warangal,38,Y
Cuttack,28,Y
Firozabad,34,Y
Kochi,21,Y
Bhavnagar,15,Y
Dehradun,35,Y
Durgapur,36,Y
Asansol,36,Y
Nanded,23,Y
Kolhapur,23,Y
Ajmer,30,Y
Gulbarga,20,Y
Jamnagar,15,Y
Ujjain,22,Y
Loni,22,Y
Siliguri,36,Y
Jhansi,34,Y
Ulhasnagar,23,Y
Nellore,8,Y
Jammu,18,Y
Sangli-Miraj-Kupwad,23,Y
Belgaum,20,Y
Mangalore,20,Y
Ambattur,32,Y
Tirunelveli,32,Y
Malegaon,23,Y
Gaya,11,Y
Jalgaon,23,Y
Udaipur,30,Y
Maheshtala,36,Y
Tirupur,32,Y
Davanagere,20,Y
Kozhikode,21,Y
Kurnool,8,Y
Rajahmundry,8,Y
Kadapa,8,Y
Kakinada,8,Y
Tirupati,8,Y
Anantapur,8,Y
Vizianagaram,8,Y
Bhagalpur,11,Y
Muzaffarpur,11,Y
Bihar-Sharif,11,Y
Darbhanga,11,Y
Purnia,11,Y
Arrah,11,Y
Begusarai,11,Y
Katihar,11,Y
Korba,12,Y
Bilaspur,12,Y
Durg,12,Y
Kirari-Suleman-Nagar,13,Y
New-Delhi,13,Y
KarawalNagar,13,Y
Junagadh,15,Y
Gandhidham,15,Y
Rohtak,16,Y
Hisar,16,Y
Panipat,16,Y
Karnal,16,Y
Sonipat,16,Y
Bokaro,19,Y
Mango,19,Y
Bellary,20,Y
Bijapur,20,Y
Shivamogga,20,Y
Tumkur,20,Y
Raichur,20,Y
Kollam,21,Y
Thrissur,21,Y
Dewas,22,Y
Satna,22,Y
Sagar,22,Y
Ratlam,22,Y
Rewa,22,Y
Akola,23,Y
Latur,23,Y
Dhule,23,Y
Ahmednagar,23,Y
Chandrapur,23,Y
Parbhani,23,Y
Ichalkaranji,23,Y
Jalna,23,Y
Ambernath,23,Y
Aizawl,26,Y
Imphal,24,Y
Brahmapur,28,Y
Rourkela,28,Y
"Ozhukarai	",28,Y
Patiala,29,Y
Bathinda,29,Y
Bhilwara,30,Y
Alwar,30,Y
Bharatpur,30,Y
Sikar,30,Y
Pali,30,Y
SriGanganagar,30,Y
Avadi,32,Y
Tiruvottiyur,32,Y
Thoothukudi,32,Y
Nagercoil,32,Y
Thanjavur,32,Y
Nizamabad,38,Y
Karimnagar,38,Y
Ramagundam,38,Y
Agartala,33,Y
Muzaffarnagar,34,Y
Mathura,34,Y
Shahjahanpur,34,Y
Rampur,34,Y
Mau,34,Y
Farrukhabad,34,Y
Hapur,34,Y
Etawah,34,Y
Mirzapur,34,Y
Bulandshahr,34,Y
Haridwar,35,Y
Rajpur Sonarpur,36,Y
South Dumdum,36,Y
Gopalpur,36,Y
Bhatpara,36,Y
Panihati,36,Y
Kamarhati,36,Y
Bardhaman,36,Y
Kulti,36,Y
Bally,36,Y
Barasat,36,Y
North Dumdum,36,Y
Baranagar,36,Y
Puducherry,40,Y
Nalgonda,38,Y
Mahboobnagar,38,Y
Adilabad,38,Y
Eluru,8,Y
Medak,38,Y
